	Unnamed: 0	City	latitude	longitude
5299	5301	LIBERTY TOWNSHIP	42.10981745	42.10981745
5300	5302	TROUT RUN	41.3740633	41.3740633
5301	5303	NEW LENOX	41.5119761	41.5119761
5302	5304	WESTMORELAND	39.392991	39.392991
5303	5305	SALUDA	34.0015232	34.0015232
5304	5306	SIGOURNEY	41.3330944	41.3330944
5305	5307	HARRINGTON PARK	40.9837089	40.9837089
5306	5308	MARKLE	40.828669	40.828669
5307	5309	CARNEYS POINT	39.71082015	39.71082015
5308	5310	HEBER CITY	40.506463	40.506463
5309	5311	WHITE POST	39.0570514	39.0570514
5310	5312	WEARE	43.094966	43.094966
5311	5313	SOUTH HUNTINGTON	40.822813	40.822813
5312	5314	PEQUOT LAKES	46.6030198	46.6030198
5313	5315	GALVA	42.5069289	42.5069289
5314	5316	WILBRAHAM	42.1227601	42.1227601
5315	5317	GROSSE ILE	47.60035975	47.60035975
5316	5318	ELDORADO	-24.522583	-24.522583
5317	5319	KEIZER	44.9969	44.9969
5318	5320	BELL	31.0081659	31.0081659
5319	5321	MONTEZUMA	37.3476546	37.3476546
5320	5322	NEW JOHNSONVILLE	36.0211715	36.0211715
5321	5323	BOSWELL	40.1614651	40.1614651
5322	5324	SOUTHWICK	51.2884693	51.2884693
5323	5325	NORTH LIBERTY	41.7478297	41.7478297
5324	5326	MI WUK VILLAGE	38.060223	38.060223
5325	5327	MAYBELL	40.5181867	40.5181867
5326	5328	HOPE MILLS	34.9704419	34.9704419
5327	5329	ORLEANS	47.9027336	47.9027336
5328	5330	STOWE	52.03701915	52.03701915
5329	5331	VALLEY CENTER	37.8347342	37.8347342
5330	5332	NORTH MANCHESTER	41.0006005	41.0006005
5331	5333	NORTH HALEDON	40.9550981	40.9550981
5332	5334	LORENA	48.71557405	48.71557405
5333	5335	HONESDALE	41.5767552	41.5767552
5334	5336	SANDY HOOK	38.0864739	38.0864739
5335	5337	HATBORO	40.1746252	40.1746252
5336	5338	FRIENDSHIP	34.2231482	34.2231482
5337	5339	BIDDEFORD	43.4925843	43.4925843
5338	5340	BAY HEAD	40.0717828	40.0717828
5339	5341	WILLS POINT	32.7092955	32.7092955
5340	5342	BARK RIVER	43.0114184	43.0114184
5341	5343	AUBERRY	37.088535	37.088535
5342	5344	KERENS	32.1309147	32.1309147
5343	5345	PEMBROKE PARK	25.9878691	25.9878691
5344	5346	KILN	30.4090829	30.4090829
5345	5347	ALVA	36.8030501	36.8030501
5346	5348	PINE	46.0820957	46.0820957
